Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,qid,market,mistral-7b-instruct-v0.2.Q4_K_M.gguf,/Users/andrew/Documents/dev/text-generation-webui/models/Wizard-Vicuna-7B-Uncensored.Q4_K_M.gguf
28,28,28,qSB2Z3s267h08qzpF7mR,0.5346957526606567,0.451022616988242,0.5033930294698628
29,29,29,I3NJXnxjH35LfxVOJsU0,0.5651417637850057,0.4397574094175899,0.5041623981311179
30,30,30,Dr70qY7lVcr32tMMk3ar,0.5736698499317866,0.4541951661331598,0.5035988068414469
31,31,31,NB4Llu4xOmnMa6MBAtHk,0.573669849931787,0.4400998887320717,0.5041638360572147
32,32,32,znpKkzSAoQVv1hlf0dRE,0.4706005557237383,0.4446338300815342,0.5047765936365254
33,33,33,WpsfnFlY6rsPzBpRYYYd,0.2479375529675904,0.8854847026898348,0.5043083367735158
34,34,34,wGGZqgGkd4FTJNtDKRoK,0.6729357176170055,0.1961445553673748,0.5045200206369738
35,35,35,viGWfP78G14gt6SJrURf,0.5454620341726397,0.453399414755787,0.5044563060062326
36,36,36,MdGI8rp6MiHv0ipZndzV,0.5736698499317875,0.4617896509887813,0.503919104510152
37,37,37,FGfVbKylsgn8yfeQXUPw,0.5651417637850061,0.4135773954314091,0.5042575007605354
38,38,38,C8filolxe7K7V30u3I8H,0.4978197561400102,0.455317856834077,0.5033285415264808
39,39,39,p93YTfpBvDrSo7xfHsXb,0.5346957526606575,0.4594432172834835,0.503902584391515
40,40,40,a432EIjZsV2o5h6btfIB,0.5820096973750212,0.4402859587657849,0.5039439818753215
41,41,41,H0iy4VtPXVrvgwt04LtO,0.5820096973750206,0.4511106159399751,0.5037886048839295
42,42,42,8AcqK4t7BO8tY7YWq2uw,0.4520766857817538,0.4485790239498236,0.5036665901093718
43,43,43,LwdLrjtqrFVJ3M4ROfDK,0.5178192795580493,0.4591084419072473,0.503875149115748
44,44,44,58d26GDZcEHPzEzYJq1E,0.463573539745821,0.4518254251319992,0.5041696831971028
45,45,45,SMMFg2N9FEsw72uwb92S,0.5346957526606567,0.4350821171066001,0.5040994790022939
46,46,46,IPsBOOcLpHzObe9OLlXU,0.5454620341726403,0.4534325290679885,0.5043040384956725
47,47,47,xC3EkBJGDQUBVLekMhe5,0.5820096973750205,0.4594394513699762,0.5042346603481691
48,48,48,I9d6WHBH5xhEcIpWL2SX,0.5651417637850062,0.4553488880718839,0.5039842690300866
49,49,49,pnOzT58UCaZxAlELCeWv,0.5564229950319374,0.4361250291111929,0.5040612184313777
50,50,50,n9wzn6T5pdDA9kL9XQhr,0.5564229950319374,0.4548614075075735,0.5035082407474798
51,51,51,fn9DKPemF1nMFcrkaEQj,0.5564229950319374,0.4553854147156683,0.5042225812715013
52,52,52,ehuOtJNjJdeSqYqYmBUD,0.5564229950319374,0.4566938306402025,0.5036268112457767
53,53,53,0f0GjnxIUcJVKav6KRcY,0.5564229950319374,0.4125452511217367,0.5042394836898908
54,54,54,UEbvSX3x12WsVP9Rlp23,0.6353558926487747,0.4185603501916298,0.5044292616223633
55,55,55,E1l1zxA1sCiDkU2DKRTU,0.6488860692214238,0.4408623220570062,0.5040945808379127
56,56,56,6Ee6maUhDA1ucygFmJ4c,0.6373798296593787,0.4449772752149213,0.5042535269903794
57,57,57,3hdzgOdD9c1IKT8yDqoa,0.5651417637850059,0.4532671996905144,0.5048192483270973
58,58,58,OUGvQwSR3TIrZiGYNmoz,0.4098360655737703,0.5679398386416477,0.5055000491243566
59,59,59,5mJCkX0DpVfKegdmkLaD,0.5564229950319374,0.4584231166076617,0.5044181263794709
60,60,60,njc7Myc9newELhF0S5Wh,0.5564229950319374,0.455795609177996,0.5044066583110728
61,61,61,LP17qsbOIksLKDDcYPXo,0.5564229950319374,0.4442226790967766,0.5035850328955733
62,62,62,NgUXdEsvTPzHkKJHduNx,0.6806744156341804,0.3544509056323782,0.5034451023376407
63,63,63,pDTGFQqCOr2akE1HPz6f,0.8433191276009018,0.3383627841773348,0.5037684236118825
64,64,64,upy6ZXjQUtROzT1IFkyO,0.9851626218648696,0.3954226996212266,0.5045502118756637
65,65,65,wlSQGf6ZcPeBQwFhGdHv,0.9759533034930457,0.3888869142738905,0.5048101555123324
66,66,66,hUxBGglo1da4diB0QaeX,0.7445594279239666,0.4219094043137939,0.5039456903634283
67,67,67,wlHiB76ZKgAnqrcmY4KN,0.8470321446721181,0.3879942328505176,0.5038081231226621
68,68,68,8RksTu4BpX3Qeu0oYVLM,0.1748311955264037,0.2235175792825224,0.5038914248133783
69,69,69,DyPkD9LmW5Wf5le4XJhI,0.3452248012949327,0.3844518669335587,0.502762393460499
70,70,70,IZTxjlS0dYaltVZDHVWn,0.3026410281584897,0.2647875883855744,0.5038100775989125
71,71,71,m2KNTfjjO3zIbQPUunra,0.371747211895911,0.5845122238869456,0.5065291937945642
72,72,72,Hkn8Lakzyr73wbMEup4K,0.4098360655737708,0.568673940741429,0.5069249022091704
73,73,73,nQbtETrdAhLjhkhCxc1x,0.3893902872970688,0.5905287471607021,0.5072918961139364
74,74,74,ongYJhan7wKuO8HwPsFX,0.447694323562664,0.575907674220649,0.5071592842469063
75,75,75,vgoGFf6cgv8yBmbnmziM,0.0983606557377049,0.4089590994662476,
76,76,76,nRK5W5fCkyD3sOLq8pKv,0.0983606557377049,0.4037132201758268,
77,77,77,CdkE4gYkEgrbsBCvFyL1,0.0983606557377049,0.4110465560163769,
78,78,78,xgTsMqEmICGjh7qsjKlU,0.1578947368421052,0.3795988033128679,
79,79,79,WDfDiF6KilYp8PCzVLoZ,0.1578947368421052,0.3928298108734218,
80,80,80,Jext6cyUMShfbhHewDkS,0.1228070175438596,0.3945611572518305,
81,81,81,41KwJIHXyLCxnTDDGcN9,0.1228070175438596,0.3836206232300785,
82,82,82,28x8cMQ4HTP5Q3qmm6B1,0.1896551724137931,0.353259608402802,
83,83,83,rLJ476gYDx1sMrNNfYEK,0.1896551724137931,0.360375998044986,
84,84,84,YYfMQPm7lKlU6OOY6ul5,0.1896551724137931,0.3391696249447715,
85,85,85,6ut2QYHzxI7noTjtHwl3,0.1896551724137931,0.3316257161343639,
86,86,86,N4nfe3bycFtchyw0Q0Cj,0.1475409836065573,0.3394252829920653,
87,87,87,8UQLK2XOwuK4GZpJSXb6,0.1475409836065573,0.2969437466976978,
88,88,88,1AxKXUEmh6ubA4KYrL1z,0.6550335036867493,0.575907674220649,0.5071592842469063
89,89,89,ruTDMeAuZ3dLRSx222LO,0.1475409836065573,0.3359116878388592,
90,90,90,RRmlPvPHWlCf4tqiu8qU,0.1475409836065573,0.3803100848707803,
91,91,91,Zn1HSdEYLeYh6Pw3WVXO,0.1475409836065573,0.3657811613795337,
92,92,92,Ic93b1P6NUAZ0ea7qmG3,0.1475409836065573,0.3748094909788332,
93,93,93,FUaxrmfmf8gYSFJTqmJp,0.135593220338983,0.3782307369505839,
94,94,94,9e1wPuInNyaLPEmpFmNf,0.1525423728813559,0.3588407930463628,
95,95,95,9JqvLCoE2qvgMlreI9p6,0.1525423728813559,0.3326013053114039,
96,96,96,cg3kyicBMRRL7afjZk7o,0.1525423728813559,0.3496128915154353,
97,97,97,n8uIIoVJ8oTNImOlDJay,0.5912403214357995,0.5952396681010701,0.5068302846509298
98,98,98,KlunqEJ0gLhQnwjTyZR6,0.6217590272023054,0.5923726655498076,0.5064694574485552
99,99,99,RDWu8WcOwoL5MdAr1Wmz,0.6957167885573361,0.5821672778280351,0.5066279928848134
100,100,100,hTv2KTNtVYNNYCjs8oS8,0.6977277630818284,0.5882559399350502,0.5061748651259494
101,101,101,a7JV1NL0I2YeUBNn21OL,0.6887710722986771,0.577844721867151,0.5065207504455204
102,102,102,V1kJFxL0iAKSGo663B8Y,0.7613259617842439,0.5876338747855279,0.5062262247066531
103,103,103,NytCLQX5Te0wXPQy2s3S,0.2658849662304319,0.8752064216125496,
104,104,104,oqc9ZJOcwusf2tmKePo4,0.903508433362924,0.4364155734035934,0.5040037783742519
105,105,105,I4pkLvl2R7ZafZth2xIm,0.5350707667238729,0.3708814663221562,0.504350421273589
106,106,106,tKOLfTe2nIEkjgW2TxIG,0.7688720920281311,0.5731222222359297,0.5064496460322714
107,107,107,hzNfE1Pacff4nbSQlrdM,0.6909191353199639,0.5743407428938103,0.505609394484535
108,108,108,elSST4lCbZXtk8ZjAvLH,0.7398486807244751,0.5891374777189813,0.506431286602544
109,109,109,vmDjFRZZbkGz2u7jwEPp,0.7415976609933828,0.5738897885882863,0.5071093131562356
110,110,110,LZlomZnzAVwVvaPmWUy5,0.7361905047795767,0.6028607820715545,0.5065206074959654
111,111,111,YxZCouPch5unV39AsbqM,0.7830934550004836,0.5948188030750701,0.5069338017890128
112,112,112,T1sZeKri885G2npKyHcN,0.8699999999999999,0.3987703706169095,0.5031858492943793
113,113,113,C4D80UzxfOKwSDyEbSYW,0.8000273656537523,0.617989244448501,0.5063868733191196
114,114,114,KJZRBuqWh9YwwHn57fk1,0.8100000000000006,0.6153464008286234,0.5068248613577269
115,115,115,21sLl6lyHwQyLwEOjALv,0.8127968577428302,0.6069159482653141,0.5070969422215373
116,116,116,kvQcx4MffyztbL7G6ppP,0.8913961282041498,0.5779846577449642,0.5062487090253509
117,117,117,bKAc7wVDco5E1Bo66MmT,0.8895015680853977,0.5786586583939819,0.5070790908604161
118,118,118,xjSTzSpX9MOMrqFqzYoM,0.6430293934030068,0.9132012395989496,0.5041114928425452
119,119,119,j2LcA4eyo5m2S1O3B1J2,0.1414811774713571,0.7583016967858305,0.5029806413558245
120,120,120,YQEYOKJkx9nPvN1ilKCk,0.5,0.2303394294792718,0.5030636959002932
121,121,121,fuDh6vrcqpfml1Yh8VS1,0.1247393269449598,0.4001696183158682,0.5055392165739736
122,122,122,mslWqzdpHHBdQzetdotS,0.4685022539655513,0.5838153012360621,0.5022111714255229
123,123,123,gjW3H5fWJwBUQXo1dmMk,0.915539056801772,0.8550686933896536,0.5042913159506788
124,124,124,R1r6XZVUt6SYAJwaG3yb,0.2175606919234344,0.6137665081821009,
125,125,125,nL7JtxQ5MafOurEGSY29,0.2013541594983872,0.3669019423004668,0.5052087030796579
126,126,126,hTWxFQwDJGS0tQtdxyGX,0.2313511280223307,0.3601095389114289,0.5058034591180505
127,127,127,yRZ4LUFPmByZCjtDNtDP,0.7056513788428578,0.3490111051454427,0.5052243168154007
128,128,128,qN2OMineotXwTLO33MIz,0.8294396289353944,0.4127854723536038,0.5057692804068676
129,129,129,ZkRMxHKJVikafIzZGgjX,0.9245283018867928,0.6790431475318264,0.5053705394992889
130,130,130,mF4iLcrshAXGVRJYn2ix,0.9872378879067808,0.3851212096873768,0.5024421179136673
131,131,131,oE2bijVGa04a4clW0WB1,0.0100010748759328,0.560663971773063,0.502584940090482
132,132,132,lqrYTd48W3pMhCt1HRiN,0.0358061912486776,0.6635524358707582,0.5089201575018658
133,133,133,lPNR9h5onz9GTPXsAM34,0.5769693370566318,0.3160315431545661,
134,134,134,4jhsA4WFdvraFOr7UcBk,0.798749660605396,0.8013031288248048,0.5039213690846438
135,135,135,ku68tUWjkKoX91RbIdYd,0.3503626865233072,0.7850110596528489,0.5054120312992401
